Name,Qualification,Experience_in_years,Fees,Website,Degree,Specialization
Dr. Surya Aggarwal,"MBBS, MD - General Medicine",14.0,800.0,https://www.practo.com/delhi//delhi/doctor/dr-surya-aggarwal-general-physician?practice_id=705384&specialization=Doctor&referrer=doctor_listing&page_uid=736c4546-7575-4fd0-962a-e0792dd96eac,"MBBS, MD",General Practice
Dr. Paru Sharma,MBBS,31.0,600.0,https://www.practo.com/delhi//delhi/doctor/dr-paru-sharma-family-physician?practice_id=1222652&specialization=Doctor&referrer=doctor_listing&page_uid=b7a40def-25d5-4955-95ba-2cdae46ef1eb,MBBS,
Dr. Rajesh Kansal,MBBS,39.0,500.0,https://www.practo.com/delhi//delhi/doctor/rajesh-kansal-family-physician?practice_id=1307264&specialization=Doctor&referrer=doctor_listing&page_uid=b7a40def-25d5-4955-95ba-2cdae46ef1eb,MBBS,
Dr. Raj Kumar,"MD - Tuberculosis and Chest Diseases, MBBS",22.0,1000.0,https://www.practo.com/delhi//delhi/doctor/dr-rajkumar-mukund-singh-pulmonologist?practice_id=1320951&specialization=Doctor&referrer=doctor_listing&page_uid=b7a40def-25d5-4955-95ba-2cdae46ef1eb,"MBBS, MD",
Dr. Rohan Rajpuut,MBBS,,349.0,https://www.practo.com/delhi//delhi/doctor/rohan-rajpuut-general-physician?practice_id=1292377&specialization=Doctor&referrer=doctor_listing&page_uid=b7a40def-25d5-4955-95ba-2cdae46ef1eb,MBBS,
Dr. Gaurav Thukran,MD - Physician,,800.0,https://www.practo.com/delhi//delhi/doctor/dr-gaurav-thukran-general-physician-1?practice_id=1276931&specialization=Doctor&referrer=doctor_listing&page_uid=b7a40def-25d5-4955-95ba-2cdae46ef1eb,MD,General Practice
Dr. Kalyanashish Das,"MBBS, Diploma in Child Health (DCH)",24.0,600.0,https://www.practo.com/delhi//delhi/doctor/kalyanashish-das-pediatrician?practice_id=757708&specialization=Doctor&referrer=doctor_listing&page_uid=b7a40def-25d5-4955-95ba-2cdae46ef1eb,"MBBS, Diploma",
Dr. Pramila Srivastava,"MBBS, Diploma in Child Health (DCH)",42.0,500.0,https://www.practo.com/delhi//delhi/doctor/pramila-srivastava-general-physician?practice_id=1363076&specialization=Doctor&referrer=doctor_listing&page_uid=b7a40def-25d5-4955-95ba-2cdae46ef1eb,"MBBS, Diploma",
Dr. Shyam Sunder Kanodia,MBBS,43.0,800.0,https://www.practo.com/delhi//delhi/doctor/shyam-sunder-kanodia-general-physician?practice_id=1293976&specialization=Doctor&referrer=doctor_listing&page_uid=b7a40def-25d5-4955-95ba-2cdae46ef1eb,MBBS,
Dr. Saumya Rathi,MBBS,11.0,600.0,https://www.practo.com/delhi//delhi/doctor/saumya-rathi-general-physician?practice_id=1276288&specialization=Doctor&referrer=doctor_listing&page_uid=b7a40def-25d5-4955-95ba-2cdae46ef1eb,MBBS,
Dr. Meenu Virdi,MD - Physician,17.0,900.0,https://www.practo.com/delhi//delhi/doctor/dr-meenu-virdi-cardiologist?practice_id=1326070&specialization=Doctor&referrer=doctor_listing&page_uid=b7a40def-25d5-4955-95ba-2cdae46ef1eb,MD,General Practice
Dr. Akant Arora,"DNB - Emergency Medicine, MBBS",,500.0,https://www.practo.com/delhi//delhi/doctor/akant-arora-emergency-critical-care?practice_id=1399436&specialization=Doctor&referrer=doctor_listing&page_uid=4dcd2f30-d021-45a7-acdb-2e4d2985f0c3,MBBS,
Dr. S.K. Tyagi,"MBBS, MD - Medicine",40.0,1000.0,https://www.practo.com/delhi//delhi/doctor/mr-shyam-tyagi-cardiologist?practice_id=1179727&specialization=Doctor&referrer=doctor_listing&page_uid=4dcd2f30-d021-45a7-acdb-2e4d2985f0c3,"MBBS, MD",
Dr. Md Shamim Reyaz,MBBS,11.0,500.0,https://www.practo.com/delhi//delhi/doctor/md-shamim-reyaz-general-physician-1?practice_id=1321252&specialization=Doctor&referrer=doctor_listing&page_uid=4dcd2f30-d021-45a7-acdb-2e4d2985f0c3,MBBS,
Dr. Viresh Prashant Mehta,"MBBS, MD - General Medicine",25.0,1000.0,https://www.practo.com/delhi//delhi/doctor/dr-vp-mehta-general-physician?practice_id=723180&specialization=Doctor&referrer=doctor_listing&page_uid=4dcd2f30-d021-45a7-acdb-2e4d2985f0c3,"MBBS, MD",General Practice
Dr. Ashok Kumar,"MBBS, MD - General Medicine",20.0,1500.0,https://www.practo.com/delhi//delhi/doctor/ashok-kumar-6-general-physician-2?practice_id=1180378&specialization=Doctor&referrer=doctor_listing&page_uid=4dcd2f30-d021-45a7-acdb-2e4d2985f0c3,"MBBS, MD",General Practice
Dr. Satbir Singh,"MBBS, DNB - General Medicine, DNB - Cardiology",24.0,1300.0,https://www.practo.com/delhi//delhi/doctor/satbir-singh-cardiologist?practice_id=680128&specialization=Doctor&referrer=doctor_listing&page_uid=4dcd2f30-d021-45a7-acdb-2e4d2985f0c3,MBBS,"General Practice, Cardiology"
Dr. Devinder Piplani,MBBS,47.0,500.0,https://www.practo.com/delhi//delhi/doctor/dr-devinder-piplani-general-physician?practice_id=672134&specialization=Doctor&referrer=doctor_listing&page_uid=4dcd2f30-d021-45a7-acdb-2e4d2985f0c3,MBBS,
Dr. Anil Vardani,"MBBS, MD - General Medicine",37.0,2000.0,https://www.practo.com/delhi//delhi/doctor/dr-anil-vardani-1-internal-medicine?practice_id=680128&specialization=Doctor&referrer=doctor_listing&page_uid=4dcd2f30-d021-45a7-acdb-2e4d2985f0c3,"MBBS, MD",General Practice
Dr. Rakesh Gupta,"MD - Medicine, MBBS",38.0,2500.0,https://www.practo.com/delhi//delhi/doctor/dr-rakesh-gupta-physiotherapist-internal-medicine?practice_id=912154&specialization=Doctor&referrer=doctor_listing&page_uid=4dcd2f30-d021-45a7-acdb-2e4d2985f0c3,"MBBS, MD",
Dr. Ajit Kumar Manocha,"MBBS, MD - Pediatrics",39.0,500.0,https://www.practo.com/delhi//delhi/doctor/dr-ajit-kumar-manocha-pediatrician?practice_id=1235548&specialization=Doctor&referrer=doctor_listing&page_uid=4dcd2f30-d021-45a7-acdb-2e4d2985f0c3,"MBBS, MD",Pediatrics
Dr. Anil Kumar Jain,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD), Diploma in Child Health (DCH)",35.0,1000.0,https://www.practo.com/delhi//delhi/doctor/dr-anil-kumar-jain-pediatrician-1?practice_id=670746&specialization=Doctor&referrer=doctor_listing&page_uid=5c8cf209-0304-4463-aad9-4faa3ff3492f,"MBBS, Diploma",
Dr. Shuchin Bajaj,"MBBS, MD - Medicine, UMSHCP",25.0,1000.0,https://www.practo.com/delhi//delhi/doctor/dr-shuchin-bajaj-general-physician?practice_id=1014901&specialization=Doctor&referrer=doctor_listing&page_uid=5c8cf209-0304-4463-aad9-4faa3ff3492f,"MBBS, MD",
Dr. Jeevanjyot Bahia,"MBBS, DNB - Family Medicine",31.0,800.0,https://www.practo.com/delhi//delhi/doctor/dr-jeevanjyot-bahia-internal-medicine?practice_id=680128&specialization=Doctor&referrer=doctor_listing&page_uid=5c8cf209-0304-4463-aad9-4faa3ff3492f,MBBS,
Dr. Praveen Tiwari,"MD - Medicine, MBBS",22.0,1000.0,https://www.practo.com/delhi//delhi/doctor/praveen-tiwari-internal-medicine?practice_id=1151377&specialization=Doctor&referrer=doctor_listing&page_uid=5c8cf209-0304-4463-aad9-4faa3ff3492f,"MBBS, MD",
Dr. Vivek Singh,"MBBS, DDV",14.0,650.0,https://www.practo.com/delhi//delhi/doctor/dr-vivek-25-general-physician?practice_id=1332676&specialization=Doctor&referrer=doctor_listing&page_uid=5c8cf209-0304-4463-aad9-4faa3ff3492f,MBBS,
Dr. Lalit Kumar,MBBS,44.0,600.0,https://www.practo.com/delhi//delhi/doctor/dr-lalit-kumar-general-physician?practice_id=1340605&specialization=Doctor&referrer=doctor_listing&page_uid=5c8cf209-0304-4463-aad9-4faa3ff3492f,MBBS,
Dr. Rajinder Kumar Singal,"MBBS, MD - General Medicine",41.0,1800.0,https://www.practo.com/delhi//delhi/doctor/dr-rajinder-kumar-singal-internal-medicine?practice_id=680128&specialization=Doctor&referrer=doctor_listing&page_uid=5c8cf209-0304-4463-aad9-4faa3ff3492f,"MBBS, MD",General Practice
Dr. M S Chaudhary,"MBBS, MD - General Medicine",40.0,2000.0,https://www.practo.com/delhi//delhi/doctor/dr-m-s-chaudhary-diabetologist?practice_id=912154&specialization=Doctor&referrer=doctor_listing&page_uid=5c8cf209-0304-4463-aad9-4faa3ff3492f,"MBBS, MD",General Practice
Dr. Vishal Kaura Aggarwal,"MD - Medicine, MBBS",26.0,1500.0,https://www.practo.com/delhi//delhi/doctor/dr-vishal-kaura-aggarwal-rheumatologist?practice_id=680128&specialization=Doctor&referrer=doctor_listing&page_uid=5c8cf209-0304-4463-aad9-4faa3ff3492f,"MBBS, MD",
Dr. Kamal Ahmad,"MBBS, MD - General Medicine",29.0,2000.0,https://www.practo.com/delhi//delhi/doctor/dr-kamal-ahmad-alternative-medicine?practice_id=912154&specialization=Doctor&referrer=doctor_listing&page_uid=5c8cf209-0304-4463-aad9-4faa3ff3492f,"MBBS, MD",General Practice
Dr. R K Raman,MBBS,14.0,600.0,https://www.practo.com/delhi//delhi/doctor/dr-rk-ramam-general-physician?practice_id=1239470&specialization=Doctor&referrer=doctor_listing&page_uid=1e31fc32-f659-4f98-b1bf-424bfd04ff3e,MBBS,
Dr. Navneet Kaur,MBBS,25.0,500.0,https://www.practo.com/delhi//delhi/doctor/dr-navneet-kaur-general-physician?practice_id=1132658&specialization=Doctor&referrer=doctor_listing&page_uid=1e31fc32-f659-4f98-b1bf-424bfd04ff3e,MBBS,
Dr. Atul Bhasin,"MBBS, DNB - General Medicine",32.0,1800.0,https://www.practo.com/delhi//delhi/doctor/dr-atul-bhasin-general-physician?practice_id=680128&specialization=Doctor&referrer=doctor_listing&page_uid=1e31fc32-f659-4f98-b1bf-424bfd04ff3e,MBBS,General Practice
Dr. Narinder Tikoo,"MBBS, MD - General Medicine",47.0,1500.0,https://www.practo.com/delhi//delhi/doctor/dr-narinder-tikoo-gastroenterologist?practice_id=912154&specialization=Doctor&referrer=doctor_listing&page_uid=1e31fc32-f659-4f98-b1bf-424bfd04ff3e,"MBBS, MD",General Practice
Dr. Amitabha Dutta,"MBBS,  FRCP, CCST - Gastroenterology",43.0,1500.0,https://www.practo.com/delhi//delhi/doctor/amitabha-dutta-gastroenterologist?practice_id=912154&specialization=Doctor&referrer=doctor_listing&page_uid=1e31fc32-f659-4f98-b1bf-424bfd04ff3e,MBBS,"Otolaryngology, Gastroenterology"
Dr. S N Kumar,MBBS,44.0,800.0,https://www.practo.com/delhi//delhi/doctor/dr-s-n-kumar-internal-medicine?practice_id=1180646&specialization=Doctor&referrer=doctor_listing&page_uid=1e31fc32-f659-4f98-b1bf-424bfd04ff3e,MBBS,
Dr. Rajiva Gupta,"MBBS, MD - General Medicine",43.0,1500.0,https://www.practo.com/delhi//delhi/doctor/dr-rajeev-gupta-internal-medicine?practice_id=1355000&specialization=Doctor&referrer=doctor_listing&page_uid=1e31fc32-f659-4f98-b1bf-424bfd04ff3e,"MBBS, MD",General Practice
Dr. Abha Arora,"MBBS, MS - Counselling and Psychotherapy",43.0,1500.0,https://www.practo.com/delhi//delhi/therapist/dr-abha-arora-psychologist?practice_id=1353287&specialization=Doctor&referrer=doctor_listing&page_uid=1e31fc32-f659-4f98-b1bf-424bfd04ff3e,MBBS,Psychiatry
Dr. Kishor Kumar Tuteja,MBBS,25.0,300.0,https://www.practo.com/delhi//delhi/doctor/dr-kishor-kumar-tuteja-general-physician?practice_id=702821&specialization=Doctor&referrer=doctor_listing&page_uid=1e31fc32-f659-4f98-b1bf-424bfd04ff3e,MBBS,
Dr. Anuj Gupta,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD)",24.0,1250.0,https://www.practo.com/delhi//delhi/doctor/dr-anuj-gupta-pulmonologist?practice_id=790073&specialization=Doctor&referrer=doctor_listing&page_uid=1e31fc32-f659-4f98-b1bf-424bfd04ff3e,"MBBS, Diploma",
Dr. Siddharth Sehgal,MBBS,21.0,500.0,https://www.practo.com/delhi//delhi/doctor/dr-siddharth-sehgal-general-physician?practice_id=1290579&specialization=Doctor&referrer=doctor_listing&page_uid=3e5f23d0-7bbd-4e44-86ac-9c04015ff692,MBBS,
Dr. Manish Jain,MBBS,,1000.0,https://www.practo.com/delhi//delhi/doctor/manish-jain-3-general-physician?practice_id=1353624&specialization=Doctor&referrer=doctor_listing&page_uid=3e5f23d0-7bbd-4e44-86ac-9c04015ff692,MBBS,
Dr. M.L.Kalra,"MBBS, MD - Medicine",40.0,1000.0,https://www.practo.com/delhi//delhi/doctor/dr-m-l-kalra-internal-medicine?practice_id=1132658&specialization=Doctor&referrer=doctor_listing&page_uid=3e5f23d0-7bbd-4e44-86ac-9c04015ff692,"MBBS, MD",
Dr. R N Saini,"MBBS, MD - Medicine",48.0,1800.0,https://www.practo.com/delhi//delhi/doctor/dr-r-n-saini-internal-medicine?practice_id=680128&specialization=Doctor&referrer=doctor_listing&page_uid=3e5f23d0-7bbd-4e44-86ac-9c04015ff692,"MBBS, MD",
Dr. Sushma Chawla,MBBS,51.0,1000.0,https://www.practo.com/delhi//delhi/doctor/sudhma-chawla?practice_id=1122610&specialization=Doctor&referrer=doctor_listing&page_uid=3e5f23d0-7bbd-4e44-86ac-9c04015ff692,MBBS,
Dr. Pradeep Kawatra,"MBBS, MD - Medicine",42.0,1200.0,https://www.practo.com/delhi//delhi/doctor/dr-pradeep-kawatra-cardiologist?practice_id=1132658&specialization=Doctor&referrer=doctor_listing&page_uid=3e5f23d0-7bbd-4e44-86ac-9c04015ff692,"MBBS, MD",
Dr. Yatin Kukreja,MD - Physician,20.0,700.0,https://www.practo.com/delhi//delhi/doctor/dr-yatin-kukreja-emergency-critical-care?practice_id=1162854&specialization=Doctor&referrer=doctor_listing&page_uid=3e5f23d0-7bbd-4e44-86ac-9c04015ff692,MD,General Practice
Dr. Narayan Prasad Verma,MBBS,30.0,250.0,https://www.practo.com/delhi//delhi/doctor/narayan-prasad-verma-general-physician?practice_id=1118110&specialization=Doctor&referrer=doctor_listing&page_uid=3e5f23d0-7bbd-4e44-86ac-9c04015ff692,MBBS,
Dr. V.S Isser,"MBBS, MD - Medicine",39.0,800.0,https://www.practo.com/delhi//delhi/doctor/dr-v-s-isser-general-physician?practice_id=1327449&specialization=Doctor&referrer=doctor_listing&page_uid=3e5f23d0-7bbd-4e44-86ac-9c04015ff692,"MBBS, MD",
Dr. Gurpreet,MD - Physician,,700.0,https://www.practo.com/delhi//delhi/doctor/dr-gurpreet-general-physician?practice_id=1296429&specialization=Doctor&referrer=doctor_listing&page_uid=3e5f23d0-7bbd-4e44-86ac-9c04015ff692,MD,General Practice
Dr. Sunil Chauhan,"MD - Physician, DNB - General Medicine",14.0,700.0,https://www.practo.com/delhi//delhi/doctor/sunil-chauhan-1?practice_id=1134730&specialization=Doctor&referrer=doctor_listing&page_uid=90427178-1e82-46e8-af2f-a58f1dbd9995,MD,General Practice
Dr. Tarun Sahni,"MBBS, MD - General Medicine",43.0,2000.0,https://www.practo.com/delhi//delhi/doctor/dr-tarun-sahni-general-physician?practice_id=912154&specialization=Doctor&referrer=doctor_listing&page_uid=90427178-1e82-46e8-af2f-a58f1dbd9995,"MBBS, MD",General Practice
Dr. Leena Batra,MBBS,18.0,500.0,https://www.practo.com/delhi//delhi/doctor/dr-leena-batra-general-physician?practice_id=1150752&specialization=Doctor&referrer=doctor_listing&page_uid=90427178-1e82-46e8-af2f-a58f1dbd9995,MBBS,
Dr. Manish Chandra Prabhakar,"MBBS, MD - Community Medicine",10.0,500.0,https://www.practo.com/delhi//delhi/doctor/dr-manish-chandra-prabhakar-general-physician?practice_id=1158269&specialization=Doctor&referrer=doctor_listing&page_uid=90427178-1e82-46e8-af2f-a58f1dbd9995,"MBBS, MD",
